Id,Label
image_0,Real
image_1,AI
image_2,AI
image_3,AI
image_4,AI
image_5,Real
image_6,Real
image_7,AI
image_8,AI
image_9,Real
image_10,Real
image_11,AI
image_12,AI
image_13,Real
image_14,AI
image_15,AI
image_16,AI
image_17,AI
image_18,AI
image_19,Real
image_20,AI
image_21,AI
image_22,Real
image_23,AI
image_24,Real
image_25,AI
image_26,AI
image_27,AI
image_28,AI
image_29,AI
image_30,Real
image_31,AI
image_32,AI
image_33,Real
image_34,AI
image_35,AI
image_36,AI
image_37,AI
image_38,AI
image_39,AI
image_40,AI
image_41,AI
image_42,AI
image_43,AI
image_44,AI
image_45,AI
image_46,AI
image_47,AI
image_48,AI
image_49,Real
image_50,AI
image_51,AI
image_52,AI
image_53,AI
image_54,AI
image_55,AI
image_56,AI
image_57,AI
image_58,AI
image_59,AI
image_60,AI
image_61,AI
image_62,AI
image_63,AI
image_64,AI
image_65,Real
image_66,Real
image_67,Real
image_68,AI
image_69,AI
image_70,AI
image_71,Real
image_72,AI
image_73,AI
image_74,AI
image_75,AI
image_76,AI
image_77,Real
image_78,Real
image_79,Real
image_80,AI
image_81,AI
image_82,AI
image_83,AI
image_84,AI
image_85,AI
image_86,AI
image_87,Real
image_88,AI
image_89,AI
image_90,Real
image_91,AI
image_92,AI
image_93,AI
image_94,AI
image_95,Real
image_96,AI
image_97,Real
image_98,Real
image_99,AI
image_100,Real
image_101,AI
image_102,AI
image_103,AI
image_104,AI
image_105,AI
image_106,AI
image_107,AI
image_108,AI
image_109,AI
image_110,AI
image_111,AI
image_112,AI
image_113,Real
image_114,AI
image_115,AI
image_116,AI
image_117,Real
image_118,AI
image_119,AI
image_120,Real
image_121,AI
image_122,AI
image_123,AI
image_124,AI
image_125,AI
image_126,AI
image_127,AI
image_128,AI
image_129,AI
image_130,AI
image_131,AI
image_132,AI
image_133,AI
image_134,AI
image_135,AI
image_136,AI
image_137,AI
image_138,Real
image_139,Real
image_140,AI
image_141,AI
image_142,AI
image_143,AI
image_144,AI
image_145,AI
image_146,AI
image_147,AI
image_148,AI
image_149,Real
image_150,AI
image_151,Real
image_152,AI
image_153,AI
image_154,AI
image_155,AI
image_156,Real
image_157,Real
image_158,AI
image_159,Real
image_160,AI
image_161,AI
image_162,AI
image_163,AI
image_164,AI
image_165,AI
image_166,AI
image_167,AI
image_168,AI
image_169,AI
image_170,AI
image_171,Real
image_172,AI
image_173,AI
image_174,AI
image_175,AI
image_176,AI
image_177,AI
image_178,AI
image_179,AI
image_180,AI
image_181,AI
image_182,AI
image_183,AI
image_184,AI
image_185,AI
image_186,AI
image_187,AI
image_188,AI
image_189,Real
image_190,AI
image_191,AI
image_192,Real
image_193,AI
image_194,AI
image_195,AI
image_196,AI
image_197,AI
image_198,AI
image_199,AI
